2021-06-05 20:02:03 start train.
2021-06-06 17:49:37 EPOCH 70 ,g_loss:821.2066650390625 d_loss:-1.023584246635437 p_loss:0.007635272573679686 gp_loss:0.08284773677587509 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 18:08:16 EPOCH 71 ,g_loss:835.4247436523438 d_loss:-1.0029884576797485 p_loss:0.007530680857598782 gp_loss:0.07883268594741821 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 18:26:38 EPOCH 72 ,g_loss:736.45166015625 d_loss:-0.9925933480262756 p_loss:0.007612104061990976 gp_loss:0.08051035553216934 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 18:45:00 EPOCH 73 ,g_loss:647.54296875 d_loss:-0.9758024215698242 p_loss:0.007578710559755564 gp_loss:0.08090188354253769 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 19:03:21 EPOCH 74 ,g_loss:664.0907592773438 d_loss:-0.972014844417572 p_loss:0.0076014515943825245 gp_loss:0.07530145347118378 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 19:21:43 EPOCH 75 ,g_loss:681.9625854492188 d_loss:-0.9690934419631958 p_loss:0.007598216645419598 gp_loss:0.07588756084442139 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 19:40:23 EPOCH 76 ,g_loss:678.44677734375 d_loss:-0.966605544090271 p_loss:0.007567225489765406 gp_loss:0.07651333510875702 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 19:58:46 EPOCH 77 ,g_loss:696.5092163085938 d_loss:-0.9651063084602356 p_loss:0.007505444809794426 gp_loss:0.07539458572864532 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 20:17:07 EPOCH 78 ,g_loss:699.9222412109375 d_loss:-0.9411112070083618 p_loss:0.007489450741559267 gp_loss:0.07378417253494263 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 20:35:28 EPOCH 79 ,g_loss:644.1801147460938 d_loss:-0.9201570153236389 p_loss:0.007501780521124601 gp_loss:0.06865594536066055 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 20:53:49 EPOCH 80 ,g_loss:654.731201171875 d_loss:-0.957969605922699 p_loss:0.007584694307297468 gp_loss:0.07592526823282242 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 21:12:28 EPOCH 81 ,g_loss:615.196533203125 d_loss:-0.9335044622421265 p_loss:0.007573467679321766 gp_loss:0.07218105345964432 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 21:30:47 EPOCH 82 ,g_loss:573.1110229492188 d_loss:-0.9501517415046692 p_loss:0.007556633558124304 gp_loss:0.0728829875588417 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 21:49:06 EPOCH 83 ,g_loss:555.8357543945312 d_loss:-0.9452275037765503 p_loss:0.007477141916751862 gp_loss:0.07381145656108856 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 22:07:26 EPOCH 84 ,g_loss:533.3340454101562 d_loss:-0.9399922490119934 p_loss:0.007501952350139618 gp_loss:0.0732341930270195 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 22:25:46 EPOCH 85 ,g_loss:522.2655639648438 d_loss:-0.9325886368751526 p_loss:0.007539751473814249 gp_loss:0.07363632321357727 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 22:44:23 EPOCH 86 ,g_loss:512.459716796875 d_loss:-0.9470054507255554 p_loss:0.0074900854378938675 gp_loss:0.07199817150831223 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 23:02:42 EPOCH 87 ,g_loss:497.61199951171875 d_loss:-0.9581854939460754 p_loss:0.007512417621910572 gp_loss:0.07346925884485245 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 23:21:02 EPOCH 88 ,g_loss:493.8849792480469 d_loss:-0.9425368905067444 p_loss:0.007518652360886335 gp_loss:0.07137376815080643 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 23:39:22 EPOCH 89 ,g_loss:489.97869873046875 d_loss:-0.9557023048400879 p_loss:0.007624146994203329 gp_loss:0.075660340487957 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 23:57:42 EPOCH 90 ,g_loss:444.9740295410156 d_loss:-0.9386582970619202 p_loss:0.007565347943454981 gp_loss:0.07159268856048584 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
